rank,county,population,state
1,Jefferson County,659892,Alabama
2,Mobile County,414659,Alabama
3,Madison County,357560,Alabama
4,Montgomery County,226941,Alabama
5,Shelby County,211261,Alabama
6,Baldwin County,208107,Alabama
7,Tuscaloosa County,206213,Alabama
8,Lee County,159287,Alabama
9,Morgan County,119122,Alabama
10,Calhoun County,115098,Alabama
11,Houston County,104352,Alabama
12,Etowah County,102939,Alabama
13,Marshall County,95145,Alabama
14,Limestone County,93052,Alabama
15,Lauderdale County,92585,Alabama
16,St. Clair County,87306,Alabama
17,Cullman County,82313,Alabama
18,Elmore County,81212,Alabama
19,Talladega County,80565,Alabama
20,DeKalb County,71200,Alabama
21,Walker County,64493,Alabama
22,Russell County,58213,Alabama
23,Blount County,57645,Alabama
24,Autauga County,55200,Alabama
25,Colbert County,54495,Alabama
26,Jackson County,52094,Alabama
27,Coffee County,51288,Alabama
28,Dale County,49255,Alabama
29,Chilton County,43930,Alabama
30,Tallapoosa County,40636,Alabama
31,Dallas County,40029,Alabama
32,Covington County,37351,Alabama
33,Escambia County,37328,Alabama
34,Chambers County,33826,Alabama
35,Pike County,33403,Alabama
36,Lawrence County,33171,Alabama
37,Franklin County,31542,Alabama
38,Marion County,29965,Alabama
39,Geneva County,26491,Alabama
40,Cherokee County,25853,Alabama
41,Barbour County,25782,Alabama
42,Clarke County,24387,Alabama
43,Winston County,23875,Alabama
44,Randolph County,22574,Alabama
45,Bibb County,22527,Alabama
46,Monroe County,21512,Alabama
47,Pickens County,20298,Alabama
48,Butler County,20025,Alabama
49,Marengo County,19538,Alabama
50,Macon County,19054,Alabama
51,Henry County,17124,Alabama
52,Washington County,16643,Alabama
53,Fayette County,16585,Alabama
54,Cleburne County,14938,Alabama
55,Hale County,14887,Alabama
56,Lamar County,13933,Alabama
57,Crenshaw County,13865,Alabama
58,Clay County,13378,Alabama
59,Choctaw County,13075,Alabama
60,Sumter County,12985,Alabama
61,Conecuh County,12514,Alabama
62,Coosa County,10855,Alabama
63,Wilcox County,10809,Alabama
64,Bullock County,10352,Alabama
65,Lowndes County,10236,Alabama
66,Perry County,9486,Alabama
67,Greene County,8426,Alabama
1,Anchorage Municipality,296112,Alaska
2,Matanuska-Susitna Borough,103464,Alaska
3,Fairbanks North Star Borough,99653,Alaska
4,Kenai Peninsula Borough,58220,Alaska
5,Juneau City and Borough,32330,Alaska
6,Bethel Census Area,18040,Alaska
7,Ketchikan Gateway Borough,13804,Alaska
8,Kodiak Island Borough,13649,Alaska
9,Nome Census Area,9925,Alaska
10,North Slope Borough,9797,Alaska
11,Valdez-Cordova Census Area,9301,Alaska
12,Sitka City and Borough,8738,Alaska
13,Kusilvak Census Area,8198,Alaska
14,Northwest Arctic Borough,7734,Alaska
15,Southeast Fairbanks Census Area,6876,Alaska
16,Prince of Wales-Hyder Census Area,6474,Alaska
17,Aleutians West Census Area,5750,Alaska
18,Yukon-Koyukuk Census Area,5415,Alaska
19,Dillingham Census Area,4975,Alaska
20,Aleutians East Borough,3425,Alaska
21,Petersburg Borough,3255,Alaska
22,Haines Borough,2518,Alaska
23,Wrangell City and Borough,2484,Alaska
24,Denali Borough,2232,Alaska
25,Hoonah-Angoon Census Area,2132,Alaska
26,Lake and Peninsula Borough,1375,Alaska
27,Skagway Municipality,1061,Alaska
28,Bristol Bay Borough,890,Alaska
29,Yakutat City and Borough,689,Alaska
1,Maricopa County,4253913,Arizona
2,Pima County,1019722,Arizona
3,Pinal County,419721,Arizona
4,Yavapai County,224645,Arizona
5,Yuma County,207829,Arizona
6,Mohave County,206064,Arizona
7,Coconino County,140217,Arizona
8,Cochise County,126279,Arizona
9,Navajo County,108705,Arizona
10,Apache County,71522,Arizona
11,Gila County,53400,Arizona
12,Santa Cruz County,46584,Arizona
13,Graham County,37879,Arizona
14,La Paz County,20701,Arizona
15,Greenlee County,9504,Arizona
1,Pulaski County,393463,Arkansas
2,Benton County,258980,Arkansas
3,Washington County,228529,Arkansas
4,Sebastian County,127461,Arkansas
5,Faulkner County,122416,Arkansas
6,Saline County,118009,Arkansas
7,Craighead County,105701,Arkansas
8,Garland County,98296,Arkansas
9,White County,78804,Arkansas
10,Lonoke County,72206,Arkansas
11,Jefferson County,70424,Arkansas
12,Pope County,63644,Arkansas
13,Crawford County,62472,Arkansas
14,Crittenden County,49013,Arkansas
15,Greene County,44623,Arkansas
16,Miller County,43759,Arkansas
17,Mississippi County,42831,Arkansas
18,Baxter County,41219,Arkansas
19,Union County,39732,Arkansas
20,Boone County,37288,Arkansas
21,Independence County,37264,Arkansas
22,Hot Spring County,33520,Arkansas
23,Carroll County,27887,Arkansas
24,St. Francis County,26294,Arkansas
25,Johnson County,26291,Arkansas
26,Cleburne County,25230,Arkansas
27,Ouachita County,24106,Arkansas
28,Poinsett County,24054,Arkansas
29,Columbia County,23892,Arkansas
30,Clark County,22385,Arkansas
31,Hempstead County,22018,Arkansas
32,Logan County,21757,Arkansas
33,Yell County,21573,Arkansas
34,Conway County,20906,Arkansas
35,Ashley County,20537,Arkansas
36,Polk County,20163,Arkansas
37,Phillips County,19034,Arkansas
38,Drew County,18502,Arkansas
39,Arkansas County,18124,Arkansas
40,Grant County,18086,Arkansas
41,Franklin County,17780,Arkansas
42,Randolph County,17603,Arkansas
43,Jackson County,17225,Arkansas
44,Sevier County,17193,Arkansas
45,Sharp County,17043,Arkansas
46,Cross County,16998,Arkansas
47,Van Buren County,16684,Arkansas
48,Lawrence County,16669,Arkansas
49,Marion County,16438,Arkansas
50,Madison County,16076,Arkansas
51,Clay County,15061,Arkansas
52,Lincoln County,13695,Arkansas
53,Izard County,13559,Arkansas
54,Howard County,13389,Arkansas
55,Stone County,12446,Arkansas
56,Little River County,12417,Arkansas
57,Fulton County,12139,Arkansas
58,Desha County,11887,Arkansas
59,Bradley County,10948,Arkansas
60,Chicot County,10826,Arkansas
61,Pike County,10808,Arkansas
62,Scott County,10442,Arkansas
63,Perry County,10322,Arkansas
64,Lee County,9398,Arkansas
65,Montgomery County,8993,Arkansas
66,Nevada County,8440,Arkansas
67,Prairie County,8244,Arkansas
68,Cleveland County,8226,Arkansas
69,Searcy County,7923,Arkansas
70,Newton County,7848,Arkansas
71,Dallas County,7432,Arkansas
72,Monroe County,7249,Arkansas
73,Lafayette County,6915,Arkansas
74,Woodruff County,6660,Arkansas
75,Calhoun County,5202,Arkansas
1,Los Angeles County,10098052,California
2,San Diego County,3302833,California
3,Orange County,3164182,California
4,Riverside County,2383286,California
5,San Bernardino County,2135413,California
6,Santa Clara County,1922200,California
7,Alameda County,1643700,California
8,Sacramento County,1510023,California
9,Contra Costa County,1133247,California
10,Fresno County,978130,California
11,Kern County,883053,California
12,San Francisco County,870044,California
13,Ventura County,848112,California
14,San Mateo County,765935,California
15,San Joaquin County,732212,California
16,Stanislaus County,539301,California
17,Sonoma County,501317,California
18,Tulare County,460477,California
19,Santa Barbara County,443738,California
20,Solano County,438530,California
21,Monterey County,433212,California
22,Placer County,380077,California
23,San Luis Obispo County,281455,California
24,Santa Cruz County,273765,California
25,Merced County,269075,California
26,Marin County,260295,California
27,Butte County,227075,California
28,Yolo County,214977,California
29,El Dorado County,186661,California
30,Imperial County,180216,California
31,Shasta County,179085,California
32,Madera County,155013,California
33,Kings County,150075,California
34,Napa County,140530,California
35,Humboldt County,135768,California
36,Nevada County,99092,California
37,Sutter County,95872,California
38,Mendocino County,87422,California
39,Yuba County,75493,California
40,Lake County,64148,California
41,Tehama County,63373,California
42,San Benito County,59416,California
43,Tuolumne County,53932,California
44,Calaveras County,45235,California
45,Siskiyou County,43540,California
46,Amador County,37829,California
47,Lassen County,31185,California
48,Glenn County,27897,California
49,Del Norte County,27424,California
50,Colusa County,21464,California
51,Plumas County,18699,California
52,Inyo County,18085,California
53,Mariposa County,17540,California
54,Mono County,14174,California
55,Trinity County,12862,California
56,Modoc County,8938,California
57,Sierra County,2930,California
58,Alpine County,1146,California
1,Denver County,693417,Colorado
2,El Paso County,688153,Colorado
3,Arapahoe County,636671,Colorado
4,Jefferson County,570427,Colorado
5,Adams County,497115,Colorado
6,Larimer County,338161,Colorado
7,Douglas County,328614,Colorado
8,Boulder County,321030,Colorado
9,Weld County,295123,Colorado
10,Pueblo County,164685,Colorado
11,Mesa County,149998,Colorado
12,Broomfield County,66120,Colorado
13,Garfield County,58538,Colorado
14,La Plata County,55101,Colorado
15,Eagle County,54357,Colorado
16,Fremont County,47002,Colorado
17,Montrose County,41268,Colorado
18,Summit County,30429,Colorado
19,Delta County,30346,Colorado
20,Morgan County,28257,Colorado
21,Montezuma County,25909,Colorado
22,Elbert County,25162,Colorado
23,Routt County,24874,Colorado
24,Teller County,24113,Colorado
25,Logan County,21689,Colorado
26,Chaffee County,19164,Colorado
27,Otero County,18325,Colorado
28,Pitkin County,17909,Colorado
29,Park County,17392,Colorado
30,Gunnison County,16537,Colorado
31,Alamosa County,16444,Colorado
32,Grand County,15066,Colorado
33,Las Animas County,14179,Colorado
34,Moffat County,13060,Colorado
35,Archuleta County,12908,Colorado
36,Prowers County,12052,Colorado
37,Rio Grande County,11351,Colorado
38,Yuma County,10069,Colorado
39,Clear Creek County,9379,Colorado
40,Conejos County,8142,Colorado
41,San Miguel County,7968,Colorado
42,Kit Carson County,7635,Colorado
43,Lake County,7585,Colorado
44,Huerfano County,6583,Colorado
45,Saguache County,6468,Colorado
46,Rio Blanco County,6465,Colorado
47,Gilpin County,5924,Colorado
48,Bent County,5809,Colorado
49,Crowley County,5630,Colorado
50,Lincoln County,5548,Colorado
51,Washington County,4840,Colorado
52,Ouray County,4722,Colorado
53,Custer County,4640,Colorado
54,Phillips County,4318,Colorado
55,Costilla County,3687,Colorado
56,Baca County,3563,Colorado
57,Sedgwick County,2350,Colorado
58,Cheyenne County,2039,Colorado
59,Dolores County,1841,Colorado
60,Kiowa County,1449,Colorado
61,Jackson County,1296,Colorado
62,Hinsdale County,878,Colorado
63,Mineral County,823,Colorado
64,San Juan County,544,Colorado
1,Fairfield County,944348,Connecticut
2,Hartford County,894730,Connecticut
3,New Haven County,859339,Connecticut
4,New London County,268881,Connecticut
5,Litchfield County,183031,Connecticut
6,Middlesex County,163368,Connecticut
7,Tolland County,151269,Connecticut
8,Windham County,116538,Connecticut
1,New Castle County,555133,Delaware
2,Sussex County,219540,Delaware
3,Kent County,174822,Delaware
1,Miami-Dade County,2715516,Florida
2,Broward County,1909151,Florida
3,Palm Beach County,1446277,Florida
4,Hillsborough County,1378883,Florida
5,Orange County,1321194,Florida
6,Pinellas County,957875,Florida
7,Duval County,924229,Florida
8,Lee County,718679,Florida
9,Polk County,668671,Florida
10,Brevard County,576808,Florida
11,Volusia County,527634,Florida
12,Pasco County,510593,Florida
13,Seminole County,455086,Florida
14,Sarasota County,412144,Florida
15,Manatee County,373853,Florida
16,Collier County,363922,Florida
17,Marion County,348371,Florida
18,Osceola County,338619,Florida
19,Lake County,335362,Florida
20,Escambia County,311522,Florida
21,St. Lucie County,305591,Florida
22,Leon County,288102,Florida
23,Alachua County,263148,Florida
24,St. Johns County,235503,Florida
25,Clay County,207291,Florida
26,Okaloosa County,200737,Florida
27,Hernando County,182696,Florida
28,Bay County,182482,Florida
29,Charlotte County,176954,Florida
30,Santa Rosa County,170442,Florida
31,Martin County,157581,Florida
32,Indian River County,150984,Florida
33,Citrus County,143087,Florida
34,Sumter County,120999,Florida
35,Flagler County,107139,Florida
36,Highlands County,102101,Florida
